smiles,cid,rat_vi,GHS_Category
CC(=O)C(=Cc1ccccc1)Oc1ccccc1OCCCN1CCCCC1.O=C(O)CC(O)(CC(=O)O)C(=O)O,6435737.0,6.5,2
CC(=O)C(=Cc1ccccc1)Oc1ccccc1OCCCN1CCN(C)CC1.O=C(O)C=CC(=O)O.O=C(O)C=CC(=O)O,6435739.0,23.9,2
CC(=O)C(=Cc1ccccc1)Oc1ccccc1OCCCNC(C)(C)C.Cl,6435717.0,12.5,2
CC(=O)C(=Cc1ccccc1)Oc1ccccc1OCCN(C(C)C)C(C)C.Cl,6435726.0,10.1,2
CC(=O)C(=Cc1ccccc1)Oc1ccccc1OCCN1CCCCC1.Cl,6435728.0,11.2,2
CC(=O)C(=Cc1ccccc1)Oc1ccccc1OCCN1CCOCC1.Cl,6435730.0,30.0,2
CC(=O)C(NC(=O)C(C)C(O)C(C)NC(=O)C(NC(=O)c1nc(C(CC(N)=O)NCC(N)C(N)=O)nc(N)c1C)C(OC1OC(CO)C(O)C(O)C1(C)OC1OC(CO)C(O)C(O)(C(N)=O)C1O)c1c[nH]cn1)C(=O)NCCC1=NC(c2nc(C(N)=O)cs2)CS1,72511.0,4.0,1
CC(=O)C1(N(C(=O)C2CC2)c2ccccc2)CCN(CCc2ccccc2)CC1,43381.0,1.38,1
CC(=O)C1(O)C=C2C(=O)c3c(c(O)c4c(O)cccc4c3O)C(=O)C2C(OC2CC(N)C(O)C(C)O2)C1,443831.0,1.6,1
CC(=O)C1(O)C=C2C(=O)c3c(c(O)c4c(O)cccc4c3O)C(=O)C2C(OC2CC(N)C(O)C(C)O2)C1.Cl,11570269.0,0.86,1
CC(=O)C1(O)C=C2C(=O)c3c(c(O)c4ccccc4c3O)C(=O)C2C(OC2CC(N)C(O)C(C)O2)C1.Cl,636362.0,3.08,1
CC(=O)C1=C([O-])C(C)OC1=O.[CH2-]C(=O)c1c([O-])oc(C)c1O.[NH-]C1CCCCC1N.[Pt+4],121494110.0,58.0,3
CC(=O)C1C(=O)NC(C(C)(C)C)C1O.CC(=O)C1C(=O)NC(C(C)(C)C)C1O.c1ccc(CNCCNCc2ccccc2)cc1,113809.0,83.0,3
CC(=O)C1CCC2C3CCC4CC(O)CCC4(C)C3C(=O)CC12C,86887.5,43.7,2
CC(=O)C1CCC2C3CCC4CC(O)CCC4(C)C3C(=O)CC12C.CC(=O)OCC(=O)C1CCC2C3CCC4CC(O)CCC4(C)C3C(=O)CC12C,24732.0,36.0,2
CC(=O)C1CCC2C3CCC4CC(O)CCC4(C)C3CCC12C,31402.0,27.5,2
CC(=O)CC(c1ccccc1)c1c([O-])c2ccccc2oc1=O.[K+],23706212.0,186.0,3
CC(=O)CC(c1ccccc1)c1c([O-])c2ccccc2oc1=O.[Na+],16204922.0,25.0,2
CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,4740.0,231.0,3
CC(=O)CC[c-]1c(=O)n(-c2ccccc2)n(-c2ccccc2)c1=O.[Na+],23667536.0,720.0,4
