smiles,cid,mouse_vo,GHS_Category
Br.COc1ccc(OCC2CN(CC(F)(F)F)CCC2c2ccccc2)cc1,3041444.0,60.0,3
Br.COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3,5475316.0,155.0,3
Br.COc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341,5464192.0,535.0,4
Br.COc1ccc2c3c1OC1CC(O)C=C(CCN(C)C2)C31,56840968.0,18.7,2
Br.COc1cccc(C2OC(=N)N3CCCCC23)c1,200073.0,160.0,3
Br.COc1ccccc1N1CCN(CCC(=O)c2cc(OC)c(OC)c(OC)c2)CC1,204678.0,380.0,4
Br.COc1nc(N(C)c2ccccc2)nc(NCCN(C)C)c1SC,3043384.0,225.0,3
Br.COc1nc(N2CCCCC2)nc(NCCN(C(C)C)C(C)C)c1SC,3043389.0,200.0,3
Br.COc1ncnc2c1N=C1CC(C)(C)CC(=NC(C)Cc3ccccc3)C1S2,135463973.0,750.0,4
Br.CSc1c(Cl)nc(N(C)c2ccc(C)cc2)nc1OCCN(C(C)C)C(C)C,3044438.0,900.0,4
Br.CSc1c(Cl)nc(N(C)c2ccc(Cl)cc2)nc1NCCN(C(C)C)C(C)C,3043433.0,900.0,4
Br.CSc1c(Cl)nc(N(C)c2cccc(C(F)(F)F)c2)nc1NCCN(C(C)C)C(C)C,3043372.0,900.0,4
Br.CSc1c(Cl)nc(N(C)c2ccccc2)nc1NCCN(C(C)C)C(C)C,3043363.0,600.0,4
Br.CSc1c(Cl)nc(N(C)c2ccccc2)nc1NCCN(C)C,3043357.0,200.0,3
Br.CSc1c(Cl)nc(N(C)c2ccccc2)nc1OCCN(C(C)C)C(C)C,3044440.0,900.0,4
Br.CSc1c(Cl)nc(N2CCCCC2)nc1NCCN(C(C)C)C(C)C,3043365.0,900.0,4
Br.Cc1cc(=N)ccn1CCc1ccccc1,214472.0,71.0,3
Br.Cc1cc2c(cc1C)C(CCc1ccc(Cl)cc1)N(C)CC2,45524.0,180.0,3
Br.Cc1ccc(C2Cc3cc(O)c(O)cc3CN2)cc1,3070964.0,658.0,4
Br.Cc1cccc(C2OC(=N)N3CCCCC23)c1,200077.0,155.0,3
Br.Cc1ccccc1C(OC1CC2CCC(C1)N2C)c1ccccc1,208098.0,150.0,3
Br.N,25514.0,2860.0,5
Br.N=C(N)N1CCc2ccccc2C1,14329.0,242.0,3
Br.N=C1OC(c2cccc(Cl)c2)C2CCCCN12,3058491.0,56.0,3
